Symbol,EntryDate,EntryPrice,ExitDate,ExitPrice,Qty,PnL,ReturnPct,ExitReason,HoldingDays
ANGELONE.NS,2022-11-28,154.435,2022-12-02,161.9,64,457.51,4.62,Exit rule,4
APOLLOTYRE.NS,2022-11-22,280.45,2022-12-07,321.95,35,1431.42,14.57,Exit rule,15
GRASIM.NS,2022-11-25,1723.1484,2022-12-07,1829.7246,5,515.12,5.97,Exit rule,12
CIPLA.NS,2022-11-30,1121.15,2022-12-08,1109.2,8,-113.44,-1.26,Exit rule,8
PIIND.NS,2022-12-01,3510.0,2022-12-09,3475.1001,2,-83.77,-1.19,Exit rule,8
KARURVYSYA.NS,2022-12-08,85.4167,2022-12-09,92.5,116,801.03,8.08,Exit rule,1
TATAPOWER.NS,2022-12-07,228.8,2022-12-12,219.75,43,-408.44,-4.15,Exit rule,5
KALYANKJIL.NS,2022-11-24,100.1,2022-12-13,120.8,99,2027.43,20.44,Exit rule,19
KPITTECH.NS,2022-11-24,732.95,2022-12-14,680.8,13,-696.33,-7.3,Exit rule,20
ADANIENT.NS,2022-12-07,4031.0,2022-12-14,4076.0,2,73.79,0.91,Exit rule,7
NESTLEIND.NS,2022-11-30,1006.06,2022-12-16,986.25,9,-196.22,-2.16,Exit rule,16
SOLARINDS.NS,2022-12-02,4092.25,2022-12-16,4210.6499,2,220.19,2.69,Exit rule,14
SBILIFE.NS,2022-11-29,1253.5,2022-12-19,1254.2,7,-12.65,-0.14,Exit rule,20
PVRINOX.NS,2022-12-19,1848.0,2022-12-21,1821.0,5,-153.34,-1.66,Exit rule,2
TATACOMM.NS,2022-12-01,1305.5,2022-12-22,1286.0,7,-154.64,-1.69,Exit rule,21
BHARTIARTL.NS,2022-12-20,839.75,2022-12-22,819.0,11,-246.5,-2.67,Exit rule,2
COCHINSHIP.NS,2022-12-09,318.75,2022-12-23,270.0,31,-1529.5,-15.46,Exit rule,14
JBCHEPHARM.NS,2022-12-16,1030.525,2022-12-23,986.3,9,-416.18,-4.48,Exit rule,7
FORTIS.NS,2022-12-22,285.65,2022-12-23,276.55,34,-328.52,-3.38,Exit rule,1
KPITTECH.NS,2022-12-19,702.95,2022-12-26,650.95,14,-746.95,-7.58,Exit rule,7
CIPLA.NS,2022-12-22,1135.0,2022-12-27,1094.05,8,-345.43,-3.8,Exit rule,5
APOLLOHOSP.NS,2022-12-22,4795.0,2022-12-30,4550.0,2,-508.69,-5.3,Exit rule,8
APLAPOLLO.NS,2022-12-30,1125.0,2023-01-02,1093.0,8,-273.74,-3.04,Exit rule,3
KPITTECH.NS,2022-12-27,694.7,2023-01-05,682.7,14,-187.28,-1.92,Exit rule,9
AUBANK.NS,2023-01-03,658.95,2023-01-05,641.8,15,-276.76,-2.8,Exit rule,2
MAXHEALTH.NS,2022-12-23,447.0,2023-01-09,437.5,22,-228.46,-2.32,Exit rule,17
CEATLTD.NS,2023-01-09,1760.7,2023-01-10,1683.4,5,-403.72,-4.58,Exit rule,1
SBIN.NS,2022-12-27,600.4,2023-01-11,596.45,16,-82.35,-0.86,Exit rule,15
ULTRACEMCO.NS,2023-01-05,7014.9502,2023-01-11,6948.0,1,-80.91,-1.15,Exit rule,6
RELIANCE.NS,2023-01-10,1202.6686,2023-01-11,1177.9784,8,-216.57,-2.25,Exit rule,1
HINDUNILVR.NS,2023-01-11,2644.0,2023-01-12,2586.1001,3,-189.39,-2.39,Exit rule,1
PNB.NS,2022-12-27,54.6,2023-01-13,56.0,182,234.67,2.36,Exit rule,17
NMDC.NS,2022-12-27,39.1667,2023-01-13,43.05,255,969.29,9.7,Exit rule,17
IRFC.NS,2022-12-27,31.3,2023-01-13,32.8,319,458.05,4.58,Exit rule,17
IGL.NS,2023-01-11,214.0,2023-01-13,210.45,46,-182.82,-1.86,Exit rule,2
BLUESTARCO.NS,2023-01-11,608.5,2023-01-13,624.025,16,228.68,2.35,Exit rule,2
MAZDOCK.NS,2022-12-27,411.5,2023-01-16,391.5,24,-499.27,-5.05,Exit rule,20
HDFCBANK.NS,2023-01-12,793.9,2023-01-17,794.9,12,-7.07,-0.07,Exit rule,5
