Symbol,EntryDate,EntryPrice,ExitDate,ExitPrice,Qty,PnL,ReturnPct,ExitReason,HoldingDays
BBTC.NS,2024-10-22,2820.0,2024-11-14,2525.3999,3,-899.84,-10.63,Exit rule,23
MANKIND.NS,2024-10-31,2616.05,2024-11-14,2532.1499,3,-267.15,-3.4,Exit rule,14
TATAINVEST.NS,2024-11-12,687.905,2024-11-14,663.6,14,-359.19,-3.73,Exit rule,2
IPCALAB.NS,2024-11-13,1559.5,2024-11-14,1494.95,6,-405.63,-4.33,Exit rule,1
MOTILALOFS.NS,2024-11-11,998.05,2024-11-19,892.05,10,-1078.9,-10.8,Stop,8
PERSISTENT.NS,2024-10-24,5693.4502,2024-11-25,5875.0,1,169.98,2.98,Exit rule,32
VBL.NS,2024-11-19,616.0,2024-11-26,607.25,16,-159.57,-1.62,Exit rule,7
STAR.NS,2024-11-22,1503.0,2024-11-26,1401.6,6,-625.83,-6.93,Exit rule,4
ASTERDM.NS,2024-10-25,439.0,2024-11-28,482.5,22,936.73,9.69,Exit rule,34
IPCALAB.NS,2024-11-18,1544.1,2024-11-28,1529.95,6,-103.34,-1.11,Exit rule,10
MANKIND.NS,2024-11-26,2629.0,2024-11-28,2558.7,3,-226.46,-2.87,Exit rule,2
MAXHEALTH.NS,2024-11-28,1014.95,2024-11-29,982.0,9,-314.52,-3.44,Exit rule,1
PRAJIND.NS,2024-11-25,795.0,2024-12-02,828.8,12,386.11,4.04,Exit rule,7
DBL.NS,2024-11-29,490.9,2024-12-02,479.15,20,-254.4,-2.59,Exit rule,3
AJANTPHARM.NS,2024-12-02,3036.8,2024-12-04,2984.25,3,-175.71,-1.93,Exit rule,2
JAICORPLTD.NS,2024-11-26,343.95,2024-12-05,392.2,29,1377.9,13.8,Exit rule,9
BHARTIARTL.NS,2024-12-02,1627.15,2024-12-05,1600.0,6,-182.26,-1.87,Exit rule,3
INDIANB.NS,2024-11-26,568.0,2024-12-06,600.0,17,524.14,5.42,Exit rule,10
KARURVYSYA.NS,2024-11-26,186.75,2024-12-06,200.0,53,681.75,6.88,Exit rule,10
ANGELONE.NS,2024-11-27,295.5,2024-12-06,318.0,33,722.25,7.4,Exit rule,9
