Date,Cash,Holdings,Equity,OpenPositions
2022-03-25,73738.52,22335.85,96074.37,2
2022-03-28,73738.52,22567.5,96306.02,2
2022-03-29,84611.64,11346.0,95957.64,1
2022-03-30,84611.64,11156.9,95768.54,1
2022-03-31,84611.64,11166.05,95777.69,1
2022-04-01,84611.64,11355.15,95966.79,1
2022-04-04,74669.2,21474.3,96143.5,2
2022-04-05,74669.2,21444.63,96113.84,2
2022-04-06,96113.77,0.0,96113.77,0
2022-04-07,96113.77,0.0,96113.77,0
2022-04-08,96113.77,0.0,96113.77,0
2022-04-11,86393.06,9673.3,96066.36,1
2022-04-12,86393.06,9629.1,96022.16,1
2022-04-13,86393.06,9493.9,95886.96,1
2022-04-18,86393.06,9423.05,95816.11,1
2022-04-19,86393.06,9579.05,95972.11,1
2022-04-20,86393.06,9228.05,95621.11,1
2022-04-21,86393.06,9367.15,95760.21,1
2022-04-22,86393.06,9275.5,95668.56,1
2022-04-25,86393.06,9297.6,95690.66,1
2022-04-26,86393.06,9932.0,96325.06,1
2022-04-27,86393.06,9679.15,96072.21,1
2022-04-28,86393.06,9621.95,96015.01,1
2022-04-29,76527.2,19298.55,95825.75,2
2022-05-02,86176.74,9704.5,95881.24,1
2022-05-04,86176.74,9257.95,95434.69,1
2022-05-05,86176.74,9298.9,95475.64,1
2022-05-06,66411.6,28022.71,94434.31,3
2022-05-09,84102.69,9767.55,93870.24,1
2022-05-10,93850.73,0.0,93850.73,0
2022-05-11,93850.73,0.0,93850.73,0
2022-05-12,93850.73,0.0,93850.73,0
2022-05-13,93850.73,0.0,93850.73,0
2022-05-16,74404.31,19739.35,94143.65,2
2022-05-17,64698.61,30190.95,94889.56,3
2022-05-18,54812.18,40169.45,94981.63,4
2022-05-19,45268.65,49000.25,94268.9,5
2022-05-20,55037.37,40274.65,95312.02,4
2022-05-23,45934.52,49729.0,95663.52,5
2022-05-24,45934.52,49787.7,95722.22,5
2022-05-25,65950.89,29437.6,95388.48,3
2022-05-26,75483.74,19873.3,95357.04,2
2022-05-27,85175.04,10481.35,95656.39,1
2022-05-30,85175.04,10981.85,96156.89,1
2022-05-31,96141.51,0.0,96141.51,0
2022-06-01,86207.18,9798.3,96005.48,1
2022-06-02,86207.18,9642.26,95849.44,1
2022-06-03,95859.02,0.0,95859.02,0
2022-06-06,95859.02,0.0,95859.02,0
