Symbol,EntryDate,EntryPrice,ExitDate,ExitPrice,Qty,PnL,ReturnPct,ExitReason,HoldingDays
TORNTPOWER.NS,2022-11-02,521.95,2022-12-21,512.5,1,-10.48,-2.01,Exit rule,49
CGPOWER.NS,2022-10-19,263.6,2022-12-22,262.9,37,-45.38,-0.46,Exit rule,64
IDFCFIRSTB.NS,2022-10-06,53.85,2022-12-23,56.1,185,395.91,3.97,Exit rule,78
BHEL.NS,2022-10-06,62.5,2022-12-23,78.15,159,2465.99,24.79,Exit rule,78
KEI.NS,2022-10-27,1650.55,2022-12-23,1449.0,6,-1227.9,-12.39,Exit rule,57
YESBANK.NS,2023-01-04,22.2,2023-01-24,18.2,1,-4.04,-18.18,Exit rule,20
JSWSTEEL.NS,2022-10-07,671.4,2023-01-25,723.0,14,702.88,7.47,Exit rule,110
RBLBANK.NS,2022-12-30,178.2,2023-01-25,160.0,56,-1038.14,-10.39,Exit rule,26
ADANIPOWER.NS,2022-12-29,61.0,2023-01-27,50.0,163,-1811.09,-18.2,Exit rule,29
PFC.NS,2023-01-03,120.72,2023-01-27,114.92,82,-494.92,-4.99,Exit rule,24
CANBK.NS,2023-01-03,67.4,2023-01-30,58.2,148,-1380.19,-13.82,Exit rule,27
HINDZINC.NS,2022-12-09,319.7,2023-01-31,330.0,31,299.16,3.02,Exit rule,53
NMDC.NS,2023-01-03,42.15,2023-02-03,40.25,164,-325.11,-4.7,Exit rule,31
JINDALSTEL.NS,2022-12-29,572.0,2023-02-07,556.85,17,-276.74,-2.84,Exit rule,40
POONAWALLA.NS,2022-12-28,292.2,2023-03-01,290.2,34,-87.8,-0.88,Exit rule,63
TITAN.NS,2023-02-06,2474.8501,2023-03-01,2370.0,4,-438.78,-4.43,Exit rule,23
YESBANK.NS,2023-03-02,18.4,2023-03-14,15.7,542,-1481.88,-14.84,Exit rule,12
UNOMINDA.NS,2023-02-13,535.0,2023-03-15,483.6,18,-943.53,-9.79,Exit rule,30
SBIN.NS,2023-03-06,564.9,2023-03-16,518.4,17,-808.92,-8.41,Exit rule,10
CANBK.NS,2023-03-06,61.35,2023-03-16,56.0,69,-377.25,-8.9,Exit rule,10
PIIND.NS,2023-02-09,3154.05,2023-03-17,3000.0,3,-480.61,-5.07,Exit rule,36
SOLARINDS.NS,2023-02-20,4044.75,2023-03-29,3655.0,2,-794.9,-9.82,Exit rule,37
RBLBANK.NS,2023-04-18,153.1,2023-05-18,145.95,65,-484.19,-4.86,Exit rule,30
VBL.NS,2023-02-08,261.6,2023-06-26,307.54,38,1724.09,17.33,Exit rule,138
TORNTPOWER.NS,2023-04-12,545.05,2023-07-05,592.9,18,840.82,8.56,Exit rule,84
BDL.NS,2023-02-17,449.5,2023-08-09,561.0,22,2430.77,24.56,Exit rule,173
BAJAJHLDNG.NS,2023-05-25,6900.0,2023-08-21,6943.2002,1,29.36,0.43,Exit rule,88
COFORGE.NS,2023-04-06,813.0,2023-08-24,950.0,12,1622.84,16.62,Exit rule,140
SUPREMEIND.NS,2023-08-09,3765.0,2023-09-22,4076.0,2,606.32,8.04,Exit rule,44
COCHINSHIP.NS,2023-06-06,280.5,2023-09-25,503.75,35,7786.3,79.23,Exit rule,111
APLAPOLLO.NS,2023-06-09,1204.85,2023-09-25,1578.25,1,370.62,30.73,Exit rule,108
ABB.NS,2023-08-01,4578.75,2023-09-25,4219.2998,2,-736.5,-8.03,Exit rule,55
ASTRAL.NS,2023-08-01,1990.0,2023-09-25,1844.45,5,-746.92,-7.5,Exit rule,55
ASHOKLEY.NS,2023-06-15,78.05,2023-09-29,87.65,1,9.43,12.08,Exit rule,106
M&MFIN.NS,2023-08-25,301.2,2023-10-23,278.0,33,-784.71,-7.89,Exit rule,59
HUDCO.NS,2023-09-25,86.9,2023-10-23,77.2,114,-1124.51,-11.34,Exit rule,28
INDHOTEL.NS,2023-02-02,322.0,2023-10-25,397.1,31,2305.81,23.08,Exit rule,265
IRCTC.NS,2023-10-06,721.95,2023-10-25,667.25,13,-729.16,-7.76,Exit rule,19
INDIGO.NS,2023-10-09,2498.05,2023-10-25,2420.95,3,-246.06,-3.28,Exit rule,16
